Date,Engine,Press_Alt,IOAT,IAS,TQ,Np,T5,Ng,Wf,Oil_Temp,Oil_Press
2026-04-06,PK-OAM | LH (SN: PC-E101),11449.0,-7.2,131.0,41.8,75.0,613.6,91.66,269.2,72.7,90.7
2026-04-07,PK-OAM | LH (SN: PC-E101),7544.0,-0.0,140.0,43.6,75.0,620.7,91.68,280.9,72.9,91.1
2026-04-08,PK-OAM | LH (SN: PC-E101),10531.0,-4.7,133.7,42.3,75.0,615.4,91.59,271.4,73.2,90.5
2026-04-09,PK-OAM | LH (SN: PC-E101),11414.0,-7.5,131.4,43.8,75.0,617.4,91.9,274.1,72.9,91.5
2026-04-10,PK-OAM | LH (SN: PC-E101),10367.0,-4.8,133.1,42.7,75.0,616.7,91.67,274.0,73.4,91.4
2026-01-01,PK-OAM | RH (SN: PC-E102),4940.0,5.9,134.2,42.1,75.0,620.4,91.62,281.5,71.6,92.2
2026-01-02,PK-OAM | RH (SN: PC-E102),9977.0,-7.1,133.7,42.2,75.0,615.2,91.75,271.4,71.2,91.9
2026-01-03,PK-OAM | RH (SN: PC-E102),3633.0,5.7,130.2,44.3,75.0,624.7,91.98,288.4,70.9,92.2
2026-01-04,PK-OAM | RH (SN: PC-E102),9674.0,-3.3,138.5,44.4,75.0,621.4,92.12,280.9,70.8,92.2
2026-01-05,PK-OAM | RH (SN: PC-E102),1981.0,10.1,138.1,42.8,75.0,623.8,91.69,287.3,70.8,92.0
2026-01-06,PK-OAM | RH (SN: PC-E102),11273.0,-7.5,135.7,42.2,75.0,614.5,91.81,270.3,71.2,91.8
2026-01-07,PK-OAM | RH (SN: PC-E102),7920.0,-1.2,129.7,41.9,75.0,616.9,91.7,274.4,71.4,91.9
2026-01-08,PK-OAM | RH (SN: PC-E102),9209.0,-2.3,139.2,43.6,75.0,619.7,91.93,279.2,71.2,92.3
2026-01-09,PK-OAM | RH (SN: PC-E102),9535.0,-2.0,137.8,43.0,75.0,618.5,91.91,277.0,71.4,92.3
2026-01-10,PK-OAM | RH (SN: PC-E102),8037.0,0.8,132.3,42.3,75.0,618.8,91.75,278.1,70.6,91.9
2026-01-11,PK-OAM | RH (SN: PC-E102),8414.0,-2.1,133.6,43.9,75.0,620.0,92.01,281.7,70.6,91.9
2026-01-12,PK-OAM | RH (SN: PC-E102),8114.0,-1.5,137.8,41.9,75.0,617.2,91.73,275.0,70.4,92.0
2026-01-13,PK-OAM | RH (SN: PC-E102),2790.0,10.0,137.2,42.0,75.0,622.6,91.53,284.9,71.2,91.9
2026-01-14,PK-OAM | RH (SN: PC-E102),9848.0,-5.1,129.1,44.2,75.0,619.6,92.13,278.3,71.4,91.1
2026-01-15,PK-OAM | RH (SN: PC-E102),4696.0,6.2,137.3,43.4,75.0,623.3,91.86,286.9,71.9,92.1
2026-01-16,PK-OAM | RH (SN: PC-E102),11234.0,-6.1,139.7,42.2,75.0,616.3,91.82,272.5,71.5,91.6
2026-01-17,PK-OAM | RH (SN: PC-E102),3398.0,9.4,133.0,41.4,75.0,621.1,91.46,283.0,71.3,91.6
2026-01-18,PK-OAM | RH (SN: PC-E102),9733.0,-3.6,128.8,41.2,75.0,615.6,91.53,270.9,71.6,91.9
2026-01-19,PK-OAM | RH (SN: PC-E102),10921.0,-8.7,133.3,42.0,75.0,614.7,91.78,268.9,72.1,92.0
2026-01-20,PK-OAM | RH (SN: PC-E102),8220.0,-2.0,138.7,42.2,75.0,618.0,91.7,276.0,70.9,91.8
2026-01-21,PK-OAM | RH (SN: PC-E102),7452.0,-0.3,140.3,44.1,75.0,621.8,91.98,282.7,71.8,91.8
2026-01-22,PK-OAM | RH (SN: PC-E102),9715.0,-4.2,137.7,43.4,75.0,619.3,91.87,277.6,71.1,92.1
2026-01-23,PK-OAM | RH (SN: PC-E102),6461.0,1.3,137.3,42.7,75.0,620.9,91.67,280.1,71.5,91.5
2026-01-24,PK-OAM | RH (SN: PC-E102),8118.0,0.6,137.6,42.9,75.0,620.7,91.72,280.8,71.7,91.8
2026-01-25,PK-OAM | RH (SN: PC-E102),8943.0,-0.6,134.5,42.4,75.0,619.8,91.62,278.7,71.2,91.5
2026-01-26,PK-OAM | RH (SN: PC-E102),11925.0,-7.4,129.1,41.8,75.0,615.7,91.64,271.1,72.1,92.0
2026-01-27,PK-OAM | RH (SN: PC-E102),1956.0,11.0,130.4,44.3,75.0,628.7,91.74,293.8,71.4,91.6
2026-01-28,PK-OAM | RH (SN: PC-E102),10539.0,-7.4,133.5,43.3,75.0,618.9,91.81,276.1,71.4,91.5
2026-01-29,PK-OAM | RH (SN: PC-E102),2848.0,8.5,133.7,42.8,75.0,624.7,91.56,287.9,72.2,91.9
2026-01-30,PK-OAM | RH (SN: PC-E102),9517.0,-4.5,129.1,41.5,75.0,616.6,91.51,272.4,71.1,91.4
2026-01-31,PK-OAM | RH (SN: PC-E102),5690.0,3.1,141.6,43.3,75.0,623.9,91.62,285.3,71.3,91.8
2026-02-01,PK-OAM | RH (SN: PC-E102),10718.0,-7.9,141.8,42.9,75.0,618.5,91.74,274.9,72.0,91.8
2026-02-02,PK-OAM | RH (SN: PC-E102),10356.0,-6.4,132.6,43.9,75.0,620.8,91.86,279.4,72.5,91.6
2026-02-03,PK-OAM | RH (SN: PC-E102),8536.0,-2.0,129.4,43.1,75.0,622.0,91.62,280.3,72.4,91.8
2026-02-04,PK-OAM | RH (SN: PC-E102),6637.0,2.0,134.2,43.1,75.0,623.5,91.61,284.0,73.0,91.6
2026-02-05,PK-OAM | RH (SN: PC-E102),11585.0,-9.3,129.5,42.3,75.0,617.4,91.63,271.7,71.8,91.6
2026-02-06,PK-OAM | RH (SN: PC-E102),2785.0,10.3,135.2,42.3,75.0,626.1,91.35,289.4,72.2,91.7
2026-02-07,PK-OAM | RH (SN: PC-E102),9668.0,-5.0,133.0,43.8,75.0,622.3,91.79,281.2,73.1,91.4
2026-02-08,PK-OAM | RH (SN: PC-E102),2836.0,9.8,140.8,43.5,75.0,628.0,91.52,292.5,72.7,91.8
2026-02-09,PK-OAM | RH (SN: PC-E102),10569.0,-6.0,133.3,43.7,75.0,622.2,91.66,280.3,72.2,92.0
2026-02-10,PK-OAM | RH (SN: PC-E102),4858.0,5.5,134.1,41.8,75.0,623.8,91.28,283.4,72.9,91.7
2026-02-11,PK-OAM | RH (SN: PC-E102),11833.0,-10.2,141.3,44.2,75.0,621.3,91.78,279.2,74.2,91.6
2026-02-12,PK-OAM | RH (SN: PC-E102),10802.0,-7.4,140.1,44.5,75.0,623.7,91.78,281.7,72.5,91.4
2026-02-13,PK-OAM | RH (SN: PC-E102),11508.0,-9.4,140.9,42.2,75.0,618.2,91.42,272.7,73.4,91.2
2026-02-14,PK-OAM | RH (SN: PC-E102),3006.0,10.1,136.2,42.0,75.0,626.9,91.13,288.9,72.8,90.7
2026-02-15,PK-OAM | RH (SN: PC-E102),10393.0,-5.8,135.1,41.1,75.0,618.2,91.21,273.8,73.1,91.8
2026-02-16,PK-OAM | RH (SN: PC-E102),8360.0,-1.3,134.4,41.5,75.0,620.7,91.15,278.7,73.1,91.4
2026-02-17,PK-OAM | RH (SN: PC-E102),8922.0,-2.6,139.0,42.3,75.0,622.2,91.31,280.1,73.7,92.2
2026-02-18,PK-OAM | RH (SN: PC-E102),2133.0,9.0,136.8,44.3,75.0,631.0,91.53,296.3,73.0,91.9
2026-02-19,PK-OAM | RH (SN: PC-E102),11025.0,-8.2,136.8,42.2,75.0,619.7,91.34,274.1,73.6,91.6
2026-02-20,PK-OAM | RH (SN: PC-E102),5631.0,3.3,140.8,42.1,75.0,624.8,91.17,285.0,73.4,91.9
2026-02-21,PK-OAM | RH (SN: PC-E102),10609.0,-5.5,131.9,44.1,75.0,625.1,91.48,283.9,73.9,91.4
2026-02-22,PK-OAM | RH (SN: PC-E102),8221.0,-0.7,138.2,41.3,75.0,622.1,91.03,279.2,73.4,91.2
2026-02-23,PK-OAM | RH (SN: PC-E102),9317.0,-5.8,140.0,41.2,75.0,620.3,91.08,274.5,74.6,91.2
2026-02-24,PK-OAM | RH (SN: PC-E102),10124.0,-4.7,128.9,42.6,75.0,623.2,91.24,280.1,73.9,91.2
2026-02-25,PK-OAM | RH (SN: PC-E102),11421.0,-7.9,128.4,44.1,75.0,624.6,91.5,283.0,74.7,91.1
2026-02-26,PK-OAM | RH (SN: PC-E102),5669.0,3.3,128.6,41.4,75.0,624.6,90.94,283.7,73.9,91.0
2026-02-27,PK-OAM | RH (SN: PC-E102),10234.0,-4.2,137.1,42.6,75.0,624.2,91.17,281.0,74.2,91.7
2026-02-28,PK-OAM | RH (SN: PC-E102),5170.0,5.7,134.1,41.2,75.0,626.2,90.9,286.6,74.1,91.6
2026-03-01,PK-OAM | RH (SN: PC-E102),8414.0,-1.8,129.7,44.3,75.0,628.8,91.38,289.5,74.9,91.3
2026-03-02,PK-OAM | RH (SN: PC-E102),7439.0,-3.1,141.4,43.9,75.0,627.2,91.34,287.3,74.2,91.2
2026-03-03,PK-OAM | RH (SN: PC-E102),9024.0,-1.9,131.3,41.3,75.0,623.3,90.94,280.0,74.5,91.0
2026-03-04,PK-OAM | RH (SN: PC-E102),9969.0,-5.5,128.3,42.7,75.0,625.0,91.15,280.8,74.5,90.9
2026-03-05,PK-OAM | RH (SN: PC-E102),10351.0,-3.5,139.6,43.8,75.0,627.8,91.29,287.6,74.3,91.0
2026-03-06,PK-OAM | RH (SN: PC-E102),2305.0,11.1,140.0,42.6,75.0,633.0,90.85,296.5,74.1,91.1
2026-03-07,PK-OAM | RH (SN: PC-E102),9302.0,-3.9,128.8,44.0,75.0,628.4,91.26,288.8,75.0,91.3
2026-03-08,PK-OAM | RH (SN: PC-E102),10308.0,-6.6,133.8,44.1,75.0,627.2,91.26,286.4,74.4,91.1
2026-03-09,PK-OAM | RH (SN: PC-E102),9990.0,-4.7,128.4,42.1,75.0,625.1,90.96,281.3,74.8,91.5
2026-03-10,PK-OAM | RH (SN: PC-E102),9780.0,-4.7,130.5,41.8,75.0,624.7,90.82,281.1,74.9,91.1
2026-03-11,PK-OAM | RH (SN: PC-E102),8203.0,-0.2,131.5,43.7,75.0,630.5,91.12,291.3,74.7,91.8
2026-03-12,PK-OAM | RH (SN: PC-E102),3288.0,8.6,132.9,41.3,75.0,629.8,90.58,291.3,75.1,91.6
2026-03-13,PK-OAM | RH (SN: PC-E102),9933.0,-6.3,132.2,43.1,75.0,627.2,90.97,284.4,75.2,91.3
2026-03-14,PK-OAM | RH (SN: PC-E102),10858.0,-7.5,136.9,42.2,75.0,625.5,90.91,281.3,75.5,91.7
2026-03-15,PK-OAM | RH (SN: PC-E102),10961.0,-4.7,137.3,43.5,75.0,629.5,91.0,287.1,75.0,91.6
2026-03-16,PK-OAM | RH (SN: PC-E102),3572.0,8.8,130.0,43.6,75.0,635.6,90.84,299.6,74.7,91.7
2026-03-17,PK-OAM | RH (SN: PC-E102),10804.0,-8.8,141.5,43.8,75.0,628.6,91.06,285.8,75.6,91.3
2026-03-18,PK-OAM | RH (SN: PC-E102),5335.0,5.7,128.8,42.1,75.0,632.1,90.55,293.6,75.7,91.7
2026-03-19,PK-OAM | RH (SN: PC-E102),11717.0,-9.5,131.5,41.9,75.0,624.7,90.72,280.1,75.3,91.4
2026-03-20,PK-OAM | RH (SN: PC-E102),3739.0,5.6,134.1,41.5,75.0,631.3,90.54,291.4,75.7,90.9
2026-03-21,PK-OAM | RH (SN: PC-E102),10480.0,-7.2,141.9,41.3,75.0,625.0,90.55,280.9,75.4,91.4
2026-03-22,PK-OAM | RH (SN: PC-E102),2680.0,8.5,132.1,41.9,75.0,633.8,90.46,295.4,75.7,91.4
2026-03-23,PK-OAM | RH (SN: PC-E102),10524.0,-4.7,131.0,42.2,75.0,628.6,90.65,285.3,76.1,91.0
2026-03-24,PK-OAM | RH (SN: PC-E102),9432.0,-4.0,131.7,43.0,75.0,630.4,90.71,288.8,75.7,91.4
2026-03-25,PK-OAM | RH (SN: PC-E102),9092.0,-3.7,135.5,43.8,75.0,632.5,90.93,291.8,76.7,91.2
2026-03-26,PK-OAM | RH (SN: PC-E102),3385.0,7.9,138.4,42.1,75.0,635.1,90.41,297.2,75.9,91.3
2026-03-27,PK-OAM | RH (SN: PC-E102),9658.0,-4.6,128.6,44.2,75.0,633.1,90.8,293.1,76.8,92.0
2026-03-28,PK-OAM | RH (SN: PC-E102),3301.0,7.5,135.4,41.4,75.0,633.5,90.16,294.9,76.8,91.6
2026-03-29,PK-OAM | RH (SN: PC-E102),11507.0,-6.1,138.8,42.6,75.0,630.3,90.63,287.5,76.1,91.1
2026-03-30,PK-OAM | RH (SN: PC-E102),7987.0,-0.7,131.8,41.8,75.0,631.8,90.38,289.6,76.6,91.3
2026-03-31,PK-OAM | RH (SN: PC-E102),8494.0,-0.5,142.0,43.6,75.0,635.3,90.59,296.3,76.2,91.2
2026-04-01,PK-OAM | RH (SN: PC-E102),8098.0,-2.0,128.9,41.3,75.0,630.4,90.26,287.0,77.0,91.0
2026-04-02,PK-OAM | RH (SN: PC-E102),11226.0,-9.2,130.5,42.5,75.0,629.5,90.52,286.5,76.7,91.5
2026-04-03,PK-OAM | RH (SN: PC-E102),9622.0,-4.6,128.0,41.6,75.0,630.6,90.23,286.4,77.3,91.1
2026-04-04,PK-OAM | RH (SN: PC-E102),10294.0,-3.4,136.7,44.4,75.0,636.8,90.62,297.1,76.2,90.3
2026-04-05,PK-OAM | RH (SN: PC-E102),1572.0,12.4,135.9,43.5,75.0,642.2,90.41,307.1,77.3,91.1
2026-04-06,PK-OAM | RH (SN: PC-E102),11406.0,-6.4,139.0,44.1,75.0,635.4,90.63,294.8,78.1,91.1
2026-04-07,PK-OAM | RH (SN: PC-E102),11331.0,-8.1,133.2,42.6,75.0,631.5,90.38,287.8,76.9,91.3
2026-04-08,PK-OAM | RH (SN: PC-E102),10684.0,-8.7,137.8,42.1,75.0,630.7,90.36,286.1,76.8,90.8
2026-04-09,PK-OAM | RH (SN: PC-E102),5947.0,4.9,128.3,43.1,75.0,639.1,90.21,301.4,77.1,90.8
2026-04-10,PK-OAM | RH (SN: PC-E102),10947.0,-9.2,130.6,41.5,75.0,629.7,90.19,285.0,76.8,90.6
2026-01-01,PK-OCH/LH #PC-E103 [BASE: TIM],5445.0,6.6,136.7,41.1,75.0,616.2,91.31,277.6,70.9,92.1
2026-01-02,PK-OCH/LH #PC-E103 [BASE: TIM],10538.0,-5.9,130.0,43.0,75.0,614.5,91.81,272.7,71.0,91.7
2026-01-03,PK-OCH/LH #PC-E103 [BASE: TIM],5018.0,4.5,131.6,42.7,75.0,618.8,91.57,280.0,70.4,92.2
2026-01-04,PK-OCH/LH #PC-E103 [BASE: TIM],9957.0,-4.8,138.1,44.5,75.0,617.6,92.02,277.9,70.5,91.9
