Date,Engine,Press_Alt,IOAT,IAS,TQ,Np,T5,Ng,Wf,Oil_Temp,Oil_Press
2026-03-08,LH,11000,10.0,135.8,40.0,75.0,629.2,91.24,292.4,71.4,90.9
2026-03-09,LH,11000,10.5,136.9,40.0,75.0,629.1,91.16,293.4,72.2,91.8
2026-03-10,LH,11000,10.2,134.8,40.0,75.0,629.4,91.17,293.1,71.5,89.7
2026-03-11,LH,11000,9.7,134.2,40.0,75.0,630.0,91.13,294.1,72.7,91.5
2026-03-12,LH,11000,10.2,134.1,40.0,75.0,630.9,91.04,293.2,73.0,91.6
2026-03-13,LH,11000,10.8,134.2,40.0,75.0,631.6,91.1,293.8,74.3,90.0
2026-03-14,LH,11000,10.0,134.9,40.0,75.0,632.1,91.07,295.0,73.3,90.8
2026-03-15,LH,11000,10.8,135.3,40.0,75.0,631.2,91.14,295.5,72.8,90.8
2026-03-16,LH,11000,8.7,135.3,40.0,75.0,631.2,91.07,295.1,73.7,90.3
2026-03-17,LH,11000,10.4,135.8,40.0,75.0,632.8,90.95,295.3,71.2,90.6
2026-03-18,LH,11000,10.0,135.0,40.0,75.0,632.8,90.89,294.6,73.2,90.4
2026-03-19,LH,11000,9.9,136.5,40.0,75.0,630.6,90.95,295.8,73.6,91.9
2026-03-20,LH,11000,10.0,134.7,40.0,75.0,633.7,90.94,296.4,71.8,91.5
2026-03-21,LH,11000,9.0,137.7,40.0,75.0,631.6,90.83,295.8,73.9,91.6
2026-03-22,LH,11000,9.9,135.6,40.0,75.0,633.3,90.9,295.0,73.3,91.4
2026-03-23,LH,11000,10.2,134.1,40.0,75.0,633.5,90.79,296.8,72.7,90.4
2026-03-24,LH,11000,10.7,133.9,40.0,75.0,634.5,90.77,296.7,73.5,90.7
2026-03-25,LH,11000,9.7,135.5,40.0,75.0,634.0,90.78,298.0,74.8,91.2
2026-03-26,LH,11000,9.6,134.8,40.0,75.0,634.6,90.77,297.7,73.1,90.4
2026-03-27,LH,11000,9.7,135.7,40.0,75.0,635.4,90.69,298.0,73.2,91.4
2026-03-28,LH,11000,10.5,135.5,40.0,75.0,636.2,90.6,300.0,72.6,90.9
2026-03-29,LH,11000,10.2,134.9,40.0,75.0,637.2,90.59,299.6,72.3,90.8
2026-03-30,LH,11000,9.7,134.2,40.0,75.0,637.7,90.57,300.3,73.7,91.4
2026-03-31,LH,11000,10.3,133.5,40.0,75.0,639.0,90.51,300.2,72.3,91.2
2026-04-01,LH,11000,10.0,134.6,40.0,75.0,638.8,90.38,300.2,73.1,90.8
2026-04-02,LH,11000,10.5,135.9,40.0,75.0,640.7,90.54,301.4,72.6,91.6
2026-04-03,LH,11000,9.6,135.2,40.0,75.0,640.7,90.44,303.5,73.4,90.5
2026-04-04,LH,11000,9.8,133.8,40.0,75.0,641.7,90.37,302.0,73.3,91.3
2026-04-05,LH,11000,9.8,135.2,40.0,75.0,640.1,90.35,302.6,73.8,91.3
2026-04-06,LH,11000,9.3,135.4,40.0,75.0,640.9,90.27,303.0,72.6,90.8
2026-04-07,LH,11000,10.1,134.1,40.0,75.0,643.9,90.3,304.0,72.8,91.2
2026-04-08,LH,11000,10.1,135.2,40.0,75.0,644.4,90.22,304.1,72.2,90.4
2026-04-09,LH,11000,10.0,135.1,40.0,75.0,645.0,90.21,304.5,72.6,91.5
2026-04-10,LH,11000,9.9,133.9,40.0,75.0,644.2,90.1,304.8,73.3,90.9
